<open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1716359400000,0.03194731,0.03199866,0.03192275,0.03196709,0,1716359459999,0,60,0,0,0
1716359460000,0.03196709,0.03203126,0.03196175,0.03202720,0,1716359519999,0,60,0,0,0
1716359520000,0.03202720,0.03203377,0.03196050,0.03197595,0,1716359579999,0,60,0,0,0
1716359580000,0.03197595,0.03198081,0.03190038,0.03190038,0,1716359639999,0,60,0,0,0
1716359640000,0.03190038,0.03194840,0.03187086,0.03191502,0,1716359699999,0,60,0,0,0
1716359700000,0.03191502,0.03198490,0.03189020,0.03198490,0,1716359759999,0,60,0,0,0
1716359760000,0.03199061,0.03199170,0.03190184,0.03193146,0,1716359819999,0,60,0,0,0
1716359820000,0.03193071,0.03193071,0.03185179,0.03187464,0,1716359879999,0,60,0,0,0
1716359880000,0.03186893,0.03191361,0.03184007,0.03190756,0,1716359939999,0,60,0,0,0
1716359940000,0.03190756,0.03193266,0.03187816,0.03189674,0,1716359999999,0,60,0,0,0
1716360000000,0.03188784,0.03195555,0.03188697,0.03195469,0,1716360059999,0,60,0,0,0
1716360060000,0.03196041,0.03197921,0.03194746,0.03197128,0,1716360119999,0,60,0,0,0
1716360120000,0.03196809,0.03200827,0.03195459,0.03199721,0,1716360179999,0,60,0,0,0
1716360180000,0.03200126,0.03202245,0.03199043,0.03199935,0,1716360239999,0,60,0,0,0
1716360240000,0.03200020,0.03200856,0.03199370,0.03200749,0,1716360299999,0,60,0,0,0
1716360300000,0.03200749,0.03211859,0.03197115,0.03211859,0,1716360359999,0,60,0,0,0
1716360360000,0.03211944,0.03220754,0.03211944,0.03220347,0,1716360419999,0,60,0,0,0
1716360420000,0.03220518,0.03225709,0.03218439,0.03218688,0,1716360479999,0,60,0,0,0
1716360480000,0.03218688,0.03223267,0.03215877,0.03216686,0,1716360539999,0,60,0,0,0
1716360540000,0.03217008,0.03220566,0.03216273,0.03220566,0,1716360599999,0,60,0,0,0
1716360600000,0.03220592,0.03222529,0.03219733,0.03220814,0,1716360659999,0,60,0,0,0
1716360660000,0.03221136,0.03222094,0.03211998,0.03212971,0,1716360719999,0,60,0,0,0
1716360720000,0.03212543,0.03213785,0.03211244,0.03213115,0,1716360779999,0,60,0,0,0
1716360780000,0.03213115,0.03213115,0.03210090,0.03210090,0,1716360839999,0,60,0,0,0
1716360840000,0.03210090,0.03210411,0.03206570,0.03206923,0,1716360899999,0,60,0,0,0
1716360900000,0.03206923,0.03207816,0.03199174,0.03200808,0,1716360959999,0,60,0,0,0
1716360960000,0.03200808,0.03200808,0.03193512,0.03193545,0,1716361019999,0,60,0,0,0
1716361020000,0.03193558,0.03193953,0.03190744,0.03191127,0,1716361079999,0,60,0,0,0
1716361080000,0.03190237,0.03194152,0.03190237,0.03192916,0,1716361139999,0,60,0,0,0
1716361140000,0.03192820,0.03197968,0.03192761,0.03197535,0,1716361199999,0,60,0,0,0
1716361200000,0.03197535,0.03201725,0.03194797,0.03201417,0,1716361259999,0,60,0,0,0
1716361260000,0.03201417,0.03213774,0.03201331,0.03213774,0,1716361319999,0,60,0,0,0
1716361320000,0.03213203,0.03220326,0.03212304,0.03220076,0,1716361379999,0,60,0,0,0
1716361380000,0.03220076,0.03226410,0.03219702,0.03225106,0,1716361439999,0,60,0,0,0
1716361440000,0.03225106,0.03225514,0.03214220,0.03214220,0,1716361499999,0,60,0,0,0
1716361500000,0.03214220,0.03214809,0.03207398,0.03208205,0,1716361559999,0,60,0,0,0
1716361560000,0.03208290,0.03208290,0.03196028,0.03198941,0,1716361619999,0,60,0,0,0
1716361620000,0.03199047,0.03204699,0.03197979,0.03203506,0,1716361679999,0,60,0,0,0
1716361680000,0.03202826,0.03202826,0.03197203,0.03198856,0,1716361739999,0,60,0,0,0
1716361740000,0.03198856,0.03201169,0.03191092,0.03192346,0,1716361799999,0,60,0,0,0
1716361800000,0.03192346,0.03193030,0.03189844,0.03189844,0,1716361859999,0,60,0,0,0
1716361860000,0.03190734,0.03199896,0.03188909,0.03199896,0,1716361919999,0,60,0,0,0
1716361920000,0.03200062,0.03213151,0.03199347,0.03212343,0,1716361979999,0,60,0,0,0
1716361980000,0.03212428,0.03214153,0.03208535,0.03209794,0,1716362039999,0,60,0,0,0
1716362040000,0.03210366,0.03210719,0.03201972,0.03204714,0,1716362099999,0,60,0,0,0
1716362100000,0.03204628,0.03209039,0.03199456,0.03208718,0,1716362159999,0,60,0,0,0
1716362160000,0.03208718,0.03209173,0.03200752,0.03201860,0,1716362219999,0,60,0,0,0
1716362220000,0.03201460,0.03204128,0.03199418,0.03204128,0,1716362279999,0,60,0,0,0
1716362280000,0.03204128,0.03205672,0.03201832,0.03205672,0,1716362339999,0,60,0,0,0
1716362340000,0.03205672,0.03209398,0.03203144,0.03209077,0,1716362399999,0,60,0,0,0
1716362400000,0.03208741,0.03212272,0.03207851,0.03207851,0,1716362459999,0,60,0,0,0
1716362460000,0.03208423,0.03209565,0.03202471,0.03203468,0,1716362519999,0,60,0,0,0
1716362520000,0.03203468,0.03204376,0.03198570,0.03203154,0,1716362579999,0,60,0,0,0
1716362580000,0.03204241,0.03213813,0.03201773,0.03213813,0,1716362639999,0,60,0,0,0
1716362640000,0.03213984,0.03215344,0.03212976,0.03214676,0,1716362699999,0,60,0,0,0
1716362700000,0.03214985,0.03214985,0.03204620,0.03206168,0,1716362759999,0,60,0,0,0
1716362760000,0.03206168,0.03206168,0.03201407,0.03203458,0,1716362819999,0,60,0,0,0
1716362820000,0.03203458,0.03204290,0.03202479,0.03203804,0,1716362879999,0,60,0,0,0
1716362880000,0.03203804,0.03203804,0.03195067,0.03195368,0,1716362939999,0,60,0,0,0
1716362940000,0.03195368,0.03195368,0.03193064,0.03193905,0,1716362999999,0,60,0,0,0
1716363000000,0.03193905,0.03197768,0.03192082,0.03197768,0,1716363059999,0,60,0,0,0
1716363060000,0.03197697,0.03198866,0.03194013,0.03195196,0,1716363119999,0,60,0,0,0
1716363120000,0.03195196,0.03198376,0.03195196,0.03196913,0,1716363179999,0,60,0,0,0
1716363180000,0.03196913,0.03201215,0.03196170,0.03200238,0,1716363239999,0,60,0,0,0
1716363240000,0.03200238,0.03201150,0.03195846,0.03199438,0,1716363299999,0,60,0,0,0
1716363300000,0.03199438,0.03203605,0.03198887,0.03202150,0,1716363359999,0,60,0,0,0
1716363360000,0.03202064,0.03203160,0.03195817,0.03195817,0,1716363419999,0,60,0,0,0
1716363420000,0.03195817,0.03196136,0.03184984,0.03187716,0,1716363479999,0,60,0,0,0
1716363480000,0.03187969,0.03201243,0.03185831,0.03200362,0,1716363539999,0,60,0,0,0
1716363540000,0.03200682,0.03201451,0.03199272,0.03199987,0,1716363599999,0,60,0,0,0
1716363600000,0.03199987,0.03201955,0.03194886,0.03201600,0,1716363659999,0,60,0,0,0
1716363660000,0.03201920,0.03203179,0.03198554,0.03198871,0,1716363719999,0,60,0,0,0
1716363720000,0.03198180,0.03198744,0.03189021,0.03189021,0,1716363779999,0,60,0,0,0
1716363780000,0.03188450,0.03191992,0.03186836,0.03191915,0,1716363839999,0,60,0,0,0
1716363840000,0.03191915,0.03194587,0.03191152,0.03191445,0,1716363899999,0,60,0,0,0
1716363900000,0.03191359,0.03196211,0.03191061,0.03195971,0,1716363959999,0,60,0,0,0
1716363960000,0.03196056,0.03200589,0.03194914,0.03199156,0,1716364019999,0,60,0,0,0
1716364020000,0.03198837,0.03202995,0.03198190,0.03201817,0,1716364079999,0,60,0,0,0
1716364080000,0.03202137,0.03205263,0.03201507,0.03201507,0,1716364139999,0,60,0,0,0
1716364140000,0.03200903,0.03202845,0.03199995,0.03202634,0,1716364199999,0,60,0,0,0
1716364200000,0.03202955,0.03205187,0.03202634,0.03204696,0,1716364259999,0,60,0,0,0
1716364260000,0.03204375,0.03210454,0.03203232,0.03210454,0,1716364319999,0,60,0,0,0
1716364320000,0.03211626,0.03213830,0.03209516,0.03210224,0,1716364379999,0,60,0,0,0
1716364380000,0.03210139,0.03210949,0.03207335,0.03207353,0,1716364439999,0,60,0,0,0
1716364440000,0.03208334,0.03217877,0.03208334,0.03217877,0,1716364499999,0,60,0,0,0
1716364500000,0.03218199,0.03223321,0.03216226,0.03222403,0,1716364559999,0,60,0,0,0
1716364560000,0.03222975,0.03223722,0.03217043,0.03219172,0,1716364619999,0,60,0,0,0
1716364620000,0.03219936,0.03219936,0.03213963,0.03214136,0,1716364679999,0,60,0,0,0
1716364680000,0.03215066,0.03215066,0.03190187,0.03191245,0,1716364739999,0,60,0,0,0
1716364740000,0.03190550,0.03190550,0.03186632,0.03187710,0,1716364799999,0,60,0,0,0
1716364800000,0.03188029,0.03189461,0.03183847,0.03183847,0,1716364859999,0,60,0,0,0
1716364860000,0.03182112,0.03186873,0.03164164,0.03168182,0,1716364919999,0,60,0,0,0
1716364920000,0.03168096,0.03169409,0.03164336,0.03164533,0,1716364979999,0,60,0,0,0
1716364980000,0.03164618,0.03166347,0.03160205,0.03161664,0,1716365039999,0,60,0,0,0
1716365040000,0.03161664,0.03165840,0.03160818,0.03161319,0,1716365099999,0,60,0,0,0
1716365100000,0.03161651,0.03161651,0.03150454,0.03150879,0,1716365159999,0,60,0,0,0
1716365160000,0.03152679,0.03155928,0.03150925,0.03151805,0,1716365219999,0,60,0,0,0
1716365220000,0.03152356,0.03160689,0.03152356,0.03160689,0,1716365279999,0,60,0,0,0
1716365280000,0.03161515,0.03167343,0.03157896,0.03157896,0,1716365339999,0,60,0,0,0
1716365340000,0.03157811,0.03164983,0.03157420,0.03164063,0,1716365399999,0,60,0,0,0
1716365400000,0.03163264,0.03167573,0.03161173,0.03167558,0,1716365459999,0,60,0,0,0
1716365460000,0.03167448,0.03167448,0.03160177,0.03162967,0,1716365519999,0,60,0,0,0
